2110	the	-3.7706996551163585
1469	to	-4.1328057054125935
1213	of	-4.32429097264242
1134	and	-4.3916363972987735
1116	or	-4.407636738645214
936	exxonmobil	-4.583527405108878
850	in	-4.679906532102109
720	shall	-4.845891669576369
715	symyx	-4.852860338892463
697	tenant	-4.8783574708259465
626	tdcc	-4.985792510486372
592	a	-5.041636246702465
585	any	-5.053531034354614
550	such	-5.115224603359954
535	landlord	-5.142876134690464
397	by	-5.44120660089928
388	for	-5.464137541963197
368	executive	-5.517059943417539
365	employee	-5.525245528003979
358	be	-5.54460989518577
353	this	-5.558674824653174
345	as	-5.581598464555111
342	with	-5.590332144523866
331	research	-5.623024506209408
324	its	-5.644399365794142
321	that	-5.653701758456455
313	agreement	-5.678939691046318
309	teva	-5.691801604688725
308	software	-5.695043098612897
306	hydrozonix	-5.70155777963409
306	el	-5.70155777963409
304	licensee	-5.708115180180249
295	aerin	-5.738167525246651
289	program	-5.758716193474038
266	premises	-5.8416465728047715
266	medtronic	-5.8416465728047715
262	lease	-5.856798377825374
261	llc	-5.860622474263777
256	cubist	-5.879965437106908
255	party	-5.883879336428045
245	section	-5.923884671041744
240	employer	-5.944503958244479
239	company	-5.94867932965496
235	tools	-5.965557367442312
227	urologix	-6.000192864105068
227	product	-6.000192864105068
222	stream	-6.022465499714191
214	michigan	-6.0591668665646194
211	not	-6.073284748110404
210	tyson	-6.078035350869002
209	discovery	-6.08280862962166
208	manufacturer	-6.087604801885153
207	cinsay	-6.092424088321102
206	other	-6.097266712796889
204	units	-6.1070228877422545
197	all	-6.141939152848482
194	is	-6.157284722523142
191	supply	-6.172869453539841
191	licensor	-6.172869453539841
188	you	-6.188700918756521
186	building	-6.199396207873269
186	association	-6.199396207873269
183	will	-6.215656728745049
177	icb	-6.248993149012642
172	bankunited	-6.277648404773018
171	arrow	-6.283479325083811
169	bank	-6.295244166663397
166	shopping	-6.313155093229928
166	affiliates	-6.313155093229928
165	on	-6.31919740768589
165	corporation	-6.31919740768589
165	center	-6.31919740768589
164	license	-6.325276453762272
162	limited	-6.337546546354087
160	provided	-6.349969066352644
159	licensed	-6.356238679366239
157	employment	-6.368897076238163
153	under	-6.394704960194035
151	use	-6.407863044771546
150	products	-6.414507587490215
148	lml	-6.427930607822356
143	have	-6.462298251326564
140	confidential	-6.483500458977167
139	termination	-6.490668948455779
138	material	-6.4978891964292655
137	institute	-6.5051619557583455
136	may	-6.512487995850419
134	article	-6.5273030816355595
134	ag	-6.5273030816355595
133	at	-6.534793753364717
131	system	-6.549945558385319
131	pursuant	-6.549945558385319
130	school	-6.557608431130888
130	medical	-6.557608431130888
129	rent	-6.565330477224799
128	an	-6.573112617666854
126	imprimis	-6.588860974634993
125	it	-6.59682914428417
124	temple	-6.604861315981434
123	project	-6.612958526214054
122	work	-6.621121836853214
122	express	-6.621121836853214
